tanggal,produk,harga,hari,promo,cuaca,stok_awal,jumlah_terjual
2026-01-01,Paha Ayam,10000,Thursday,0,Mendung,90,44
2026-01-02,Dada Ayam,11000,Friday,0,Cerah,86,32
2026-01-03,Ayam Crispy,12000,Saturday,0,Cerah,43,43
2026-01-04,Paha Ayam,10000,Sunday,1,Cerah,46,46
2026-01-05,Paha Ayam,10000,Monday,0,Cerah,74,36
2026-01-06,Dada Ayam,11000,Tuesday,0,Cerah,87,42
2026-01-07,Ayam Crispy,12000,Wednesday,1,Mendung,112,69
2026-01-08,Ayam Crispy,12000,Thursday,1,Mendung,111,66
2026-01-09,Paha Ayam,10000,Friday,1,Mendung,84,62
2026-01-10,Ayam Geprek,15000,Saturday,1,Mendung,120,83
2026-01-11,Paha Ayam,10000,Sunday,0,Hujan,120,63
2026-01-12,Paha Ayam,10000,Monday,0,Mendung,111,60
2026-01-13,Paha Ayam,10000,Tuesday,1,Hujan,58,40
2026-01-14,Paha Ayam,10000,Wednesday,1,Cerah,102,67
2026-01-15,Dada Ayam,11000,Thursday,0,Cerah,77,43
2026-01-16,Ayam Crispy,12000,Friday,0,Cerah,106,52
2026-01-17,Dada Ayam,11000,Saturday,0,Mendung,98,64
2026-01-18,Dada Ayam,11000,Sunday,1,Hujan,108,70
2026-01-19,Dada Ayam,11000,Monday,1,Cerah,52,49
2026-01-20,Paha Ayam,10000,Tuesday,0,Hujan,86,34
2026-01-21,Ayam Geprek,15000,Wednesday,0,Cerah,100,58
2026-01-22,Ayam Crispy,12000,Thursday,0,Hujan,70,34
2026-01-23,Ayam Geprek,15000,Friday,1,Cerah,119,64
2026-01-24,Dada Ayam,11000,Saturday,1,Cerah,61,59
2026-01-25,Dada Ayam,11000,Sunday,1,Cerah,82,73
2026-01-26,Ayam Geprek,15000,Monday,0,Cerah,106,50
2026-01-27,Ayam Geprek,15000,Tuesday,0,Cerah,93,47
2026-01-28,Ayam Geprek,15000,Wednesday,0,Cerah,49,35
2026-01-29,Dada Ayam,11000,Thursday,0,Hujan,81,35
2026-01-30,Dada Ayam,11000,Friday,1,Mendung,103,68
2026-01-31,Ayam Crispy,12000,Saturday,1,Cerah,60,60
2026-02-01,Ayam Crispy,12000,Sunday,1,Mendung,119,80
2026-02-02,Dada Ayam,11000,Monday,1,Mendung,115,71
2026-02-03,Ayam Geprek,15000,Tuesday,0,Cerah,105,49
2026-02-04,Ayam Geprek,15000,Wednesday,1,Cerah,80,65
2026-02-05,Ayam Crispy,12000,Thursday,1,Cerah,63,41
2026-02-06,Dada Ayam,11000,Friday,1,Cerah,74,45
2026-02-07,Ayam Crispy,12000,Saturday,0,Mendung,95,65
2026-02-08,Ayam Crispy,12000,Sunday,0,Cerah,69,60
2026-02-09,Paha Ayam,10000,Monday,0,Mendung,96,52
2026-02-10,Paha Ayam,10000,Tuesday,1,Mendung,86,56
2026-02-11,Paha Ayam,10000,Wednesday,0,Cerah,74,48
2026-02-12,Ayam Geprek,15000,Thursday,0,Mendung,58,29
2026-02-13,Dada Ayam,11000,Friday,0,Cerah,47,38
2026-02-14,Dada Ayam,11000,Saturday,0,Hujan,65,37
2026-02-15,Dada Ayam,11000,Sunday,0,Cerah,110,67
2026-02-16,Dada Ayam,11000,Monday,0,Hujan,69,32
2026-02-17,Paha Ayam,10000,Tuesday,0,Mendung,46,24
2026-02-18,Ayam Geprek,15000,Wednesday,0,Cerah,106,59
2026-02-19,Ayam Geprek,15000,Thursday,1,Mendung,104,65
2026-02-20,Paha Ayam,10000,Friday,0,Hujan,75,32
2026-02-21,Ayam Geprek,15000,Saturday,1,Mendung,64,64
